<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.06.12	17:00:00	1.25870	1.25881	1.25344	1.25407	8083	0	8
2020.06.12	18:00:00	1.25407	1.25505	1.25196	1.25243	9274	0	8
2020.06.12	19:00:00	1.25243	1.25258	1.25018	1.25034	8022	0	8
2020.06.12	20:00:00	1.25033	1.25081	1.24746	1.24835	7409	0	8
2020.06.12	21:00:00	1.24834	1.24905	1.24732	1.24901	7101	0	8
2020.06.12	22:00:00	1.24901	1.25219	1.24901	1.25192	6112	0	8
2020.06.12	23:00:00	1.25192	1.25495	1.25192	1.25401	2474	0	8
2020.06.15	00:00:00	1.25151	1.25218	1.25129	1.25138	397	0	8
2020.06.15	01:00:00	1.25138	1.25163	1.24856	1.25106	2184	0	8
2020.06.15	02:00:00	1.25107	1.25156	1.24973	1.25080	2949	0	8
2020.06.15	03:00:00	1.25081	1.25217	1.24996	1.25000	4246	0	8
2020.06.15	04:00:00	1.25000	1.25226	1.24968	1.25207	4710	0	8
2020.06.15	05:00:00	1.25204	1.25230	1.25085	1.25115	4230	0	8
2020.06.15	06:00:00	1.25114	1.25229	1.25111	1.25220	2559	0	8
2020.06.15	07:00:00	1.25219	1.25250	1.25139	1.25163	3034	0	8
2020.06.15	08:00:00	1.25163	1.25170	1.24748	1.24796	4599	0	8
2020.06.15	09:00:00	1.24790	1.24793	1.24538	1.24623	7144	0	8
2020.06.15	10:00:00	1.24628	1.25129	1.24569	1.25097	8089	0	8
2020.06.15	11:00:00	1.25097	1.25477	1.25043	1.25413	7174	0	8
2020.06.15	12:00:00	1.25413	1.25480	1.25222	1.25397	6099	0	8
2020.06.15	13:00:00	1.25397	1.25404	1.25065	1.25089	4878	0	8
2020.06.15	14:00:00	1.25092	1.25489	1.25046	1.25472	5127	0	8
2020.06.15	15:00:00	1.25478	1.25606	1.25301	1.25336	6073	0	8
2020.06.15	16:00:00	1.25340	1.25773	1.25295	1.25687	8001	0	8
2020.06.15	17:00:00	1.25698	1.25790	1.25485	1.25644	7833	0	8
2020.06.15	18:00:00	1.25643	1.25726	1.25336	1.25417	6329	0	8
2020.06.15	19:00:00	1.25412	1.25657	1.25407	1.25636	5044	0	8
2020.06.15	20:00:00	1.25636	1.25705	1.25558	1.25627	4178	0	8
2020.06.15	21:00:00	1.25628	1.26030	1.25628	1.25824	7316	0	8
